24-06-08--18-43-26

nb_nodes=100
bsz=512
dim_emb=128
dim_ff=512
dim_input_nodes=2
nb_layers_encoder=6
nb_layers_decoder=2
nb_heads=8
nb_epochs=10000
nb_batch_per_epoch=25
nb_batch_eval=20
gpu_id=0,1
lr=0.0001
tol=0.001
batchnorm=True
max_len_PE=1000


Epoch: 48, epoch time: 0.419min, tot time: 0.020day, L_train: 9.608, L_base: 9.576, gap_train(%): 23.729, update: False
Epoch: 49, epoch time: 0.419min, tot time: 0.020day, L_train: 9.628, L_base: 9.588, gap_train(%): 23.994, update: False
Epoch: 50, epoch time: 0.418min, tot time: 0.021day, L_train: 9.546, L_base: 9.582, gap_train(%): 22.937, update: True
Epoch: 51, epoch time: 0.418min, tot time: 0.021day, L_train: 9.566, L_base: 9.545, gap_train(%): 23.188, update: False
Epoch: 52, epoch time: 0.419min, tot time: 0.022day, L_train: 9.526, L_base: 9.543, gap_train(%): 22.675, update: True
Epoch: 53, epoch time: 0.419min, tot time: 0.022day, L_train: 9.524, L_base: 9.529, gap_train(%): 22.647, update: True
Epoch: 54, epoch time: 0.419min, tot time: 0.022day, L_train: 9.556, L_base: 9.521, gap_train(%): 23.064, update: False
Epoch: 55, epoch time: 0.417min, tot time: 0.023day, L_train: 9.517, L_base: 9.528, gap_train(%): 22.569, update: True
Epoch: 56, epoch time: 0.419min, tot time: 0.023day, L_train: 9.569, L_base: 9.509, gap_train(%): 23.233, update: False
Epoch: 57, epoch time: 0.419min, tot time: 0.024day, L_train: 9.516, L_base: 9.520, gap_train(%): 22.546, update: True
Epoch: 58, epoch time: 0.418min, tot time: 0.024day, L_train: 9.500, L_base: 9.520, gap_train(%): 22.349, update: True
Epoch: 59, epoch time: 0.419min, tot time: 0.024day, L_train: 9.509, L_base: 9.499, gap_train(%): 22.454, update: False
Epoch: 60, epoch time: 0.419min, tot time: 0.025day, L_train: 9.493, L_base: 9.502, gap_train(%): 22.253, update: True
Epoch: 61, epoch time: 0.418min, tot time: 0.025day, L_train: 9.496, L_base: 9.502, gap_train(%): 22.291, update: True
Epoch: 62, epoch time: 0.420min, tot time: 0.026day, L_train: 9.464, L_base: 9.494, gap_train(%): 21.886, update: True
Epoch: 63, epoch time: 0.417min, tot time: 0.026day, L_train: 9.473, L_base: 9.465, gap_train(%): 21.998, update: False
Epoch: 64, epoch time: 0.416min, tot time: 0.026day, L_train: 9.417, L_base: 9.465, gap_train(%): 21.271, update: True
Epoch: 65, epoch time: 0.419min, tot time: 0.027day, L_train: 9.460, L_base: 9.409, gap_train(%): 21.835, update: False
Epoch: 66, epoch time: 0.419min, tot time: 0.027day, L_train: 9.493, L_base: 9.418, gap_train(%): 22.249, update: False
Epoch: 67, epoch time: 0.419min, tot time: 0.028day, L_train: 9.494, L_base: 9.414, gap_train(%): 22.271, update: False
Epoch: 68, epoch time: 0.418min, tot time: 0.028day, L_train: 9.489, L_base: 9.418, gap_train(%): 22.197, update: False
Epoch: 69, epoch time: 0.418min, tot time: 0.029day, L_train: 9.449, L_base: 9.411, gap_train(%): 21.683, update: False
Epoch: 70, epoch time: 0.419min, tot time: 0.029day, L_train: 9.441, L_base: 9.414, gap_train(%): 21.581, update: False
Epoch: 71, epoch time: 0.419min, tot time: 0.029day, L_train: 9.424, L_base: 9.413, gap_train(%): 21.364, update: False
Epoch: 72, epoch time: 0.419min, tot time: 0.030day, L_train: 9.382, L_base: 9.413, gap_train(%): 20.820, update: True
Epoch: 73, epoch time: 0.418min, tot time: 0.030day, L_train: 9.398, L_base: 9.376, gap_train(%): 21.028, update: False
Epoch: 74, epoch time: 0.416min, tot time: 0.031day, L_train: 9.365, L_base: 9.387, gap_train(%): 20.607, update: True
Epoch: 75, epoch time: 0.414min, tot time: 0.031day, L_train: 9.413, L_base: 9.360, gap_train(%): 21.226, update: False
Epoch: 76, epoch time: 0.412min, tot time: 0.031day, L_train: 9.499, L_base: 9.366, gap_train(%): 22.328, update: False
Epoch: 77, epoch time: 0.414min, tot time: 0.032day, L_train: 9.390, L_base: 9.369, gap_train(%): 20.922, update: False
Epoch: 78, epoch time: 0.414min, tot time: 0.032day, L_train: 9.406, L_base: 9.361, gap_train(%): 21.127, update: False
Epoch: 79, epoch time: 0.414min, tot time: 0.033day, L_train: 9.390, L_base: 9.363, gap_train(%): 20.933, update: False
Epoch: 80, epoch time: 0.412min, tot time: 0.033day, L_train: 9.340, L_base: 9.369, gap_train(%): 20.277, update: True
Epoch: 81, epoch time: 0.414min, tot time: 0.033day, L_train: 9.361, L_base: 9.337, gap_train(%): 20.552, update: False
Epoch: 82, epoch time: 0.414min, tot time: 0.034day, L_train: 9.321, L_base: 9.339, gap_train(%): 20.035, update: True
Epoch: 83, epoch time: 0.414min, tot time: 0.034day, L_train: 9.315, L_base: 9.316, gap_train(%): 19.960, update: True
Epoch: 84, epoch time: 0.429min, tot time: 0.035day, L_train: 9.336, L_base: 9.312, gap_train(%): 20.227, update: False
Epoch: 85, epoch time: 0.415min, tot time: 0.035day, L_train: 9.347, L_base: 9.323, gap_train(%): 20.375, update: False
Epoch: 86, epoch time: 0.413min, tot time: 0.035day, L_train: 9.301, L_base: 9.322, gap_train(%): 19.787, update: True
Epoch: 87, epoch time: 0.414min, tot time: 0.036day, L_train: 9.324, L_base: 9.290, gap_train(%): 20.077, update: False
Epoch: 88, epoch time: 0.414min, tot time: 0.036day, L_train: 9.339, L_base: 9.301, gap_train(%): 20.277, update: False
Epoch: 89, epoch time: 0.413min, tot time: 0.037day, L_train: 9.321, L_base: 9.299, gap_train(%): 20.037, update: False
Epoch: 90, epoch time: 0.413min, tot time: 0.037day, L_train: 9.329, L_base: 9.290, gap_train(%): 20.144, update: False
Epoch: 91, epoch time: 0.415min, tot time: 0.037day, L_train: 9.283, L_base: 9.296, gap_train(%): 19.543, update: True
Epoch: 92, epoch time: 0.414min, tot time: 0.038day, L_train: 9.300, L_base: 9.287, gap_train(%): 19.762, update: False
Epoch: 93, epoch time: 0.414min, tot time: 0.038day, L_train: 9.285, L_base: 9.279, gap_train(%): 19.577, update: False
Epoch: 94, epoch time: 0.413min, tot time: 0.039day, L_train: 9.275, L_base: 9.280, gap_train(%): 19.443, update: True
Epoch: 95, epoch time: 0.414min, tot time: 0.039day, L_train: 9.296, L_base: 9.282, gap_train(%): 19.713, update: False
Epoch: 96, epoch time: 0.414min, tot time: 0.039day, L_train: 9.280, L_base: 9.280, gap_train(%): 19.515, update: False
Epoch: 97, epoch time: 0.415min, tot time: 0.040day, L_train: 9.278, L_base: 9.276, gap_train(%): 19.482, update: False
Epoch: 98, epoch time: 0.413min, tot time: 0.040day, L_train: 9.348, L_base: 9.279, gap_train(%): 20.391, update: False
Epoch: 99, epoch time: 0.415min, tot time: 0.041day, L_train: 9.272, L_base: 9.279, gap_train(%): 19.402, update: True
Epoch: 100, epoch time: 0.415min, tot time: 0.041day, L_train: 9.230, L_base: 9.277, gap_train(%): 18.867, update: True
Epoch: 101, epoch time: 0.413min, tot time: 0.041day, L_train: 9.258, L_base: 9.235, gap_train(%): 19.226, update: False
Epoch: 102, epoch time: 0.413min, tot time: 0.042day, L_train: 9.234, L_base: 9.234, gap_train(%): 18.914, update: False
Epoch: 103, epoch time: 0.414min, tot time: 0.042day, L_train: 9.267, L_base: 9.230, gap_train(%): 19.339, update: False
Epoch: 104, epoch time: 0.415min, tot time: 0.043day, L_train: 9.215, L_base: 9.225, gap_train(%): 18.677, update: True
Epoch: 105, epoch time: 0.415min, tot time: 0.043day, L_train: 9.252, L_base: 9.221, gap_train(%): 19.144, update: False
Epoch: 106, epoch time: 0.414min, tot time: 0.043day, L_train: 9.250, L_base: 9.220, gap_train(%): 19.128, update: False
Epoch: 107, epoch time: 0.413min, tot time: 0.044day, L_train: 9.216, L_base: 9.220, gap_train(%): 18.684, update: True
Epoch: 108, epoch time: 0.414min, tot time: 0.044day, L_train: 9.205, L_base: 9.220, gap_train(%): 18.550, update: True
Epoch: 109, epoch time: 0.413min, tot time: 0.045day, L_train: 9.191, L_base: 9.202, gap_train(%): 18.370, update: True
Epoch: 110, epoch time: 0.414min, tot time: 0.045day, L_train: 9.176, L_base: 9.197, gap_train(%): 18.177, update: True
Epoch: 111, epoch time: 0.415min, tot time: 0.045day, L_train: 9.178, L_base: 9.171, gap_train(%): 18.202, update: False
Epoch: 112, epoch time: 0.414min, tot time: 0.046day, L_train: 9.159, L_base: 9.169, gap_train(%): 17.954, update: True
Epoch: 113, epoch time: 0.413min, tot time: 0.046day, L_train: 9.184, L_base: 9.159, gap_train(%): 18.280, update: False
Epoch: 114, epoch time: 0.415min, tot time: 0.047day, L_train: 9.151, L_base: 9.155, gap_train(%): 17.846, update: True
Epoch: 115, epoch time: 0.415min, tot time: 0.047day, L_train: 9.153, L_base: 9.156, gap_train(%): 17.872, update: True
Epoch: 116, epoch time: 0.414min, tot time: 0.047day, L_train: 9.179, L_base: 9.154, gap_train(%): 18.216, update: False
Epoch: 117, epoch time: 0.414min, tot time: 0.048day, L_train: 9.174, L_base: 9.154, gap_train(%): 18.148, update: False
Epoch: 118, epoch time: 0.415min, tot time: 0.048day, L_train: 9.120, L_base: 9.157, gap_train(%): 17.454, update: True
Epoch: 119, epoch time: 0.411min, tot time: 0.049day, L_train: 9.128, L_base: 9.122, gap_train(%): 17.548, update: False
Epoch: 120, epoch time: 0.413min, tot time: 0.049day, L_train: 9.129, L_base: 9.114, gap_train(%): 17.572, update: False
Epoch: 121, epoch time: 0.414min, tot time: 0.049day, L_train: 9.110, L_base: 9.119, gap_train(%): 17.326, update: True
Epoch: 122, epoch time: 0.415min, tot time: 0.050day, L_train: 9.144, L_base: 9.113, gap_train(%): 17.765, update: False
Epoch: 123, epoch time: 0.413min, tot time: 0.050day, L_train: 9.114, L_base: 9.114, gap_train(%): 17.371, update: False
Epoch: 124, epoch time: 0.415min, tot time: 0.051day, L_train: 9.158, L_base: 9.105, gap_train(%): 17.941, update: False
Epoch: 125, epoch time: 0.413min, tot time: 0.051day, L_train: 9.125, L_base: 9.112, gap_train(%): 17.519, update: False
Epoch: 126, epoch time: 0.414min, tot time: 0.051day, L_train: 9.102, L_base: 9.109, gap_train(%): 17.222, update: True
Epoch: 127, epoch time: 0.414min, tot time: 0.052day, L_train: 9.082, L_base: 9.099, gap_train(%): 16.966, update: True
Epoch: 128, epoch time: 0.414min, tot time: 0.052day, L_train: 9.080, L_base: 9.087, gap_train(%): 16.939, update: True
Epoch: 129, epoch time: 0.414min, tot time: 0.053day, L_train: 9.125, L_base: 9.088, gap_train(%): 17.511, update: False
Epoch: 130, epoch time: 0.414min, tot time: 0.053day, L_train: 9.079, L_base: 9.088, gap_train(%): 16.920, update: True
